,Attendance,Performance3,Standard5,Poss,Standard4,Standard3,offside,crosses,fouls_drw,fouls_com,Int,Tackles1,Standard1,Standard2,Performance2,Performance,Performance4,OwnGoals,Ast,Penalty Kicks1,Penalty Kicks2,Penalty Kicks3,Penalty Kicks,Standard9,Tkl_Int,sec_yel,red,yellow,Standard8,result,GA,GF,date,team,venue,opponent
9062,64877,100.0,0.57,41.0,0.29,50.0,3,12,7,5,7,9,14,7,4,4,1,0,3,0,0,0,0,0,26,0,0,1,0,W,0,4,2024-03-07,Roma,Home,Brighton
3715,72738,100.0,0.09,38.0,0.05,52.4,2,17,11,16,5,7,21,11,3,3,0,0,1,1,0,0,1,0,0,1,1,6,0,D,1,1,2020-02-13,Milan,Home,Juventus
9263,24300,75.0,0.5,54.0,0.2,40.0,4,18,11,11,16,9,10,4,9,12,0,0,2,0,0,0,0,0,28,0,0,1,0,L,3,2,2024-04-26,Hoffenheim,Away,Bochum
594,28299,50.0,0.0,64.0,0.0,45.5,2,19,15,10,15,17,11,5,4,8,0,0,0,0,0,0,0,0,37,0,0,0,0,L,4,0,2017-12-02,RB Leipzig,Away,Hoffenheim
8367,42100,50.0,0.0,44.0,0.0,28.6,5,21,12,14,2,12,7,2,3,4,0,1,0,0,0,0,0,0,17,0,1,4,0,L,2,0,2023-10-28,Union Berlin,Away,Werder Bremen
8712,2629,100.0,0.25,55.0,0.09,34.8,2,29,8,14,9,9,23,8,5,5,1,0,1,0,0,0,0,0,0,0,0,2,0,W,0,2,2024-01-06,Rayo Vallecano,Away,Huesca
5709,39230,85.7,0.0,46.0,0.0,35.7,1,16,15,11,17,8,14,5,6,7,0,0,0,0,0,0,0,1,32,0,0,2,1,D,1,1,2021-10-21,Betis,Home,Leverkusen
2637,26102,66.7,0.14,59.0,0.05,35.0,4,30,9,10,12,10,20,7,2,3,0,0,1,0,0,0,0,0,33,0,0,2,0,D,1,1,2019-04-22,Wolfsburg,Home,Eint Frankfurt
7111,81365,50.0,0.0,40.0,0.0,10.0,3,11,7,8,13,8,10,1,5,10,0,0,0,0,0,0,0,0,29,0,0,0,0,L,5,0,2022-10-22,Stuttgart,Away,Dortmund
5961,14646,40.0,0.4,53.0,0.13,33.3,0,25,12,13,13,8,15,5,2,5,0,0,0,0,0,0,0,0,29,0,0,0,0,L,3,2,2021-12-09,Leicester City,Away,Napoli
6942,81100,80.0,0.0,35.0,0.0,0.0,3,11,9,14,9,8,3,0,4,5,0,0,0,0,0,0,0,0,24,0,0,2,0,L,1,0,2022-09-17,Schalke 04,Away,Dortmund
9245,80902,100.0,0.33,62.0,0.07,21.4,3,22,11,9,5,10,14,3,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,W,0,1,2024-04-20,Manchester City,Neutral,Chelsea
1086,38417,100.0,0.0,55.0,0.0,16.7,0,10,10,17,13,7,6,1,2,2,0,0,0,1,0,0,1,0,0,0,0,2,0,L,1,0,2018-02-28,Atalanta,Away,Juventus
4405,0,100.0,0.5,53.0,0.18,36.4,1,16,10,10,14,4,11,4,1,1,1,0,1,0,0,0,0,1,24,0,0,0,1,W,0,3,2020-11-07,Hertha BSC,Away,Augsburg
5087,0,100.0,0.0,59.0,0.0,37.5,7,20,9,5,7,8,8,3,2,2,1,0,0,0,0,0,0,0,20,0,0,0,0,D,0,0,2021-03-07,Union Berlin,Away,Arminia
9308,58000,50.0,0.2,55.0,0.06,29.4,1,27,4,10,11,15,17,5,1,6,0,0,1,2,0,0,2,0,32,0,0,0,0,L,5,1,2024-05-05,Eint Frankfurt,Home,Leverkusen
5990,13750,50.0,0.0,49.0,0.0,60.0,0,14,13,9,12,13,5,3,2,4,0,0,0,0,0,0,0,0,33,0,0,2,0,L,2,0,2021-12-14,Bochum,Away,Arminia
7671,60000,0.0,0.0,35.0,0.0,50.0,3,7,16,13,12,9,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,W,0,1,2023-03-02,Barcelona,Away,Real Madrid
1286,49000,62.5,0.0,26.0,0.0,33.3,1,8,19,11,11,13,6,2,5,8,0,0,0,0,0,0,0,0,28,0,0,1,0,L,3,0,2018-04-21,Hannover 96,Home,Bayern Munich
6480,43058,0.0,0.0,55.0,0.0,40.0,3,12,19,6,14,13,15,6,0,0,1,0,0,0,0,0,0,0,30,0,0,1,0,D,0,0,2022-03-20,RB Leipzig,Home,Eint Frankfurt
4032,0,50.0,0.0,44.0,0.0,27.3,1,23,12,5,7,8,22,6,4,8,0,0,0,0,0,0,0,0,18,0,0,0,0,L,4,0,2020-06-27,Schalke 04,Away,Freiburg
9283,81365,100.0,0.25,43.0,0.08,30.8,1,18,6,11,2,10,13,4,3,3,1,0,1,0,0,0,0,0,21,0,0,2,0,W,0,1,2024-05-01,Dortmund,Home,Paris S-G
4660,0,87.5,0.0,47.0,0.0,41.7,0,27,8,12,23,9,12,5,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,L,1,0,2020-12-23,Freiburg,Away,Stuttgart
1708,22405,0.0,0.67,51.0,0.22,33.3,3,7,10,11,17,21,9,3,0,1,0,0,1,0,0,0,0,0,46,0,0,3,0,W,1,2,2018-10-25,Betis,Away,Milan
5058,0,100.0,0.5,46.0,0.08,15.4,1,11,14,14,8,8,13,2,5,5,1,0,1,0,0,0,0,0,0,1,1,4,0,W,0,1,2021-03-02,Dortmund,Away,Gladbach
2947,51500,33.3,0.29,62.0,0.13,43.8,2,19,18,11,7,12,16,7,2,3,0,1,2,0,0,0,0,0,27,0,0,2,0,D,2,2,2019-09-22,Dortmund,Away,Eint Frankfurt
3720,22012,40.0,0.29,40.0,0.1,33.3,1,25,12,10,17,15,21,7,2,5,0,0,2,0,0,0,0,0,40,0,0,2,0,L,3,2,2020-02-15,Union Berlin,Home,Leverkusen
9530,29250,25.0,0.57,78.0,0.2,35.0,4,25,14,6,9,13,20,7,2,4,0,1,3,0,0,0,0,0,24,0,0,4,0,W,3,4,2024-09-22,Leverkusen,Home,Wolfsburg
3057,31670,33.3,0.5,59.0,0.18,35.3,0,15,9,14,10,13,17,6,1,3,0,0,2,0,0,0,0,0,26,0,0,2,0,W,2,3,2019-10-22,Bayern Munich,Away,Olympiacos
6711,10000,100.0,0.33,77.0,0.14,41.4,2,45,5,9,10,10,29,12,2,2,1,0,4,0,0,0,0,1,0,0,0,0,0,W,0,5,2022-07-31,Schalke 04,Away,Bremer SV
5313,0,0.0,0.4,44.0,0.17,41.7,1,9,11,15,11,9,12,5,0,0,1,0,1,0,0,0,0,0,33,0,0,2,0,W,0,2,2021-05-04,Manchester City,Home,Paris S-G
6345,9788,100.0,0.0,58.0,0.0,33.3,0,14,15,13,8,9,15,5,2,3,0,0,0,1,0,0,1,0,23,1,1,4,0,L,1,0,2022-02-24,Sevilla,Away,Dinamo Zagreb
1777,15701,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,W,2,3,2018-10-31,Nice,Home,Auxerre
2636,26102,85.7,0.33,41.0,0.08,25.0,1,23,10,10,9,13,12,3,6,7,0,0,0,0,0,0,0,0,32,0,0,3,0,D,1,1,2019-04-22,Eint Frankfurt,Away,Wolfsburg
5600,8523,50.0,1.0,50.0,0.27,27.3,0,26,9,13,8,3,11,3,1,2,0,0,1,0,0,0,0,0,17,0,0,2,0,W,1,3,2021-09-25,Hoffenheim,Home,Wolfsburg
2424,32235,100.0,0.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,D,0,0,2019-02-26,Lazio,Home,Milan
2605,51000,75.0,0.6,55.0,0.19,31.3,7,12,17,9,12,9,16,5,3,4,0,0,3,0,0,0,0,0,29,0,0,1,0,W,1,3,2019-04-14,Augsburg,Away,Eint Frankfurt
2368,58271,100.0,0.0,55.0,0.0,25.0,1,14,10,15,10,13,12,3,2,2,1,0,0,0,0,0,0,0,29,1,1,4,0,D,0,0,2019-02-16,Freiburg,Away,Schalke 04
2797,75000,33.3,0.17,70.0,0.06,37.5,2,34,18,6,5,7,16,6,1,3,0,0,1,0,0,0,0,1,12,0,0,3,1,D,2,2,2019-08-16,Bayern Munich,Home,Hertha BSC
8760,25000,50.0,0.33,44.0,0.18,54.5,2,18,10,19,15,15,11,6,5,10,0,0,2,0,0,0,0,0,0,0,0,0,0,L,5,3,2024-01-10,Atlético Madrid,Away,Real Madrid
7412,25190,60.0,0.33,61.0,0.11,33.3,0,33,6,14,10,12,9,3,3,5,0,0,1,0,0,0,0,0,0,0,0,2,0,L,2,1,2023-01-19,Monza,Away,Juventus
3662,13926,71.4,0.8,52.0,0.44,55.6,3,22,15,18,8,10,9,5,5,7,0,0,3,0,0,0,0,0,24,0,0,3,0,W,2,4,2020-02-02,Wolfsburg,Away,Paderborn 07
127,30150,100.0,0.67,29.0,0.33,50.0,2,2,9,15,18,13,6,3,6,6,1,0,2,0,0,0,0,0,35,0,0,3,0,W,0,2,2017-09-09,Hoffenheim,Home,Bayern Munich
3920,0,0.0,0.0,33.0,0.0,11.1,2,19,12,8,13,6,9,1,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,L,1,0,2020-05-29,Freiburg,Home,Leverkusen
1743,5872,33.3,0.22,58.0,0.09,40.9,8,35,11,10,8,19,22,9,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,D,2,2,2018-10-30,Leganés,Home,Rayo Vallecano
7117,20572,100.0,0.22,45.0,0.1,42.9,3,27,6,15,8,9,21,9,6,6,1,0,1,0,0,0,0,1,19,0,0,1,1,W,0,4,2022-10-25,Milan,Away,Dinamo Zagreb
8436,30100,100.0,0.67,33.0,0.2,30.0,5,11,5,12,12,10,10,3,1,1,1,0,1,0,0,0,0,0,34,0,0,3,0,W,0,2,2023-11-04,Mainz 05,Home,RB Leipzig
6288,15000,50.0,0.75,50.0,0.5,66.7,2,7,11,6,13,8,6,4,1,2,0,0,2,0,0,0,0,0,28,0,0,1,0,W,1,3,2022-02-11,RB Leipzig,Home,Köln
7777,22107,0.0,0.4,68.0,0.09,22.7,3,27,12,9,5,7,22,5,1,2,0,1,2,0,0,0,0,1,14,0,0,3,0,D,2,2,2023-04-01,Wolfsburg,Home,Augsburg
2928,47000,100.0,0.5,44.0,0.19,37.5,1,13,13,12,10,10,16,6,7,7,1,0,3,0,0,0,0,0,27,0,0,3,0,W,0,3,2019-09-19,Arsenal,Away,Eint Frankfurt
